ANO_ELEICAO,NM_UE,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,DS_SITUACAO_CANDIDATURA,TP_AGREMIACAO,SG_PARTIDO,NM_PARTIDO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,SG_UF_NASCIMENTO,DT_NASCIMENTO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,DS_OCUPACAO,DS_SIT_TOT_TURNO,ANO_NASCIMENTO,IDADE
2016,SALVADOR,VEREADOR,43000,JOSE CARLOS OLIVEIRA RODRIGUES,CAL,#NULO#,APTO,COLIGAÇÃO,PV,PARTIDO VERDE,#NULO#,#NULO#,#NULO#,50000001055,SALVADOR SOLIDÁRIO E SUSTENTÁVEL,SD / PV,BA,1975-08-27,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,PETROLEIRO,SUPLENTE,1975,41
2016,SALVADOR,VEREADOR,50572,NILSON CONCEIÇÃO DA SILVA,SINHO,#NULO#,APTO,COLIGAÇÃO,PSOL,PARTIDO SOCIALISMO E LIBERDADE,#NULO#,#NULO#,#NULO#,50000001670,AGORA É COM A GENTE,PSOL / REDE,BA,1979-09-13,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,OUTROS,SUPLENTE,1979,37
2016,SALVADOR,VEREADOR,25024,ALECSANDRO DE SOUZA SANTOS,LÉO KRET,#NULO#,APTO,COLIGAÇÃO,DEM,DEMOCRATAS,#NULO#,#NULO#,#NULO#,50000000986,AMOR POR SALVADOR,DEM / PRB / PMB,BA,1983-12-09,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,OUTROS,SUPLENTE,1983,33
2016,SALVADOR,VEREADOR,90190,ROBERTO DOS SANTOS PINTO,CORONEL ROBERTO PINTO,#NULO#,APTO,COLIGAÇÃO,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,#NULO#,#NULO#,#NULO#,50000002607,AGORA É O NOVO,PDT / PROS / PSL,BA,1958-10-18,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO ESTADUAL,SUPLENTE,1958,58
2016,SALVADOR,VEREADOR,19700,ANTONIO CARLOS SILVA SANTOS,NA FÉ BOMBA,#NULO#,APTO,PARTIDO ISOLADO,PTN,PARTIDO TRABALHISTA NACIONAL,#NULO#,#NULO#,#NULO#,50000001056,PARTIDO ISOLADO,PTN,BA,1958-02-10,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),SUPLENTE,1958,58
2016,SALVADOR,VEREADOR,54444,MARIA LUISA PORFIRIO DE SOUSA,TIA LU,#NULO#,APTO,PARTIDO ISOLADO,PPL,PARTIDO PÁTRIA LIVRE,#NULO#,#NULO#,#NULO#,50000002526,PARTIDO ISOLADO,PPL,BA,1959-07-06,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,EMPRESÁRIO,NÃO ELEITO,1959,57
2016,SALVADOR,VEREADOR,31022,SAMUEL JESUS RIBEIRO,SAMUEL JESUS,#NULO#,APTO,COLIGAÇÃO,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,#NULO#,#NULO#,#NULO#,50000002074,PRA FRENTE SALVADOR,PHS / PT do B,BA,1968-10-29,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,MILITAR REFORMADO,SUPLENTE,1968,48
2016,SALVADOR,VEREADOR,11515,GERALDO SOUZA DE BRITO,GEGÊ SÓ ALEGRIA,#NULO#,APTO,COLIGAÇÃO,PP,PARTIDO PROGRESSISTA,#NULO#,#NULO#,#NULO#,50000001063,SALVADOR MERECE MAIS,PR / PP,BA,1952-01-19,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,COMERCIANTE,NÃO ELEITO,1952,64
2016,SALVADOR,VEREADOR,51156,MOISÉS DOS SANTOS ROSÁRIO,MOISÉS ROSÁRIO,#NULO#,APTO,PARTIDO ISOLADO,PATRIOTA,PARTIDO ECOLÓGICO NACIONAL,#NULO#,#NULO#,#NULO#,50000001652,PARTIDO ISOLADO,PATRIOTA,BA,1955-11-28,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PRETA,EMPRESÁRIO,SUPLENTE,1955,61
2016,SALVADOR,VEREADOR,19830,CLAUDIA REGINA DE MENDOÇA SANTOS ROJOS,CLAUDIA MENDONÇA,#NULO#,APTO,PARTIDO ISOLADO,PTN,PARTIDO TRABALHISTA NACIONAL,#NULO#,#NULO#,#NULO#,50000001056,PARTIDO ISOLADO,PTN,BA,1971-07-23,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,GEÓGRAFO,SUPLENTE,1971,45
2016,SALVADOR,VEREADOR,14222,CLAUDIO BISPO SILVA,CAL ME AJUDE,#NULO#,APTO,COLIGAÇÃO,PTB,PARTIDO TRABALHISTA BRASILEIRO,#NULO#,#NULO#,#NULO#,50000001645,Decência e Trabalho,PTB / PPS,BA,1970-12-26,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,EMPRESÁRIO,SUPLENTE,1970,46
2016,SALVADOR,VEREADOR,15123,BENTO FREIRE DE SOUZA JUNIOR,BENTO JUNIOR,#NULO#,APTO,COLIGAÇÃO,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,#NULO#,#NULO#,#NULO#,50000000869,SALVADOR NO CAMINHO CERTO,PMDB / PSDC,BA,1992-01-09,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,OUTROS,SUPLENTE,1992,24
2016,SALVADOR,VEREADOR,19229,ORLANDO BARBOSA DOS SANTOS,ORLANDO BARBOSA,#NULO#,APTO,PARTIDO ISOLADO,PTN,PARTIDO TRABALHISTA NACIONAL,#NULO#,#NULO#,#NULO#,50000001056,PARTIDO ISOLADO,PTN,BA,1959-03-01,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),SUPLENTE,1959,57
2016,SALVADOR,VEREADOR,51234,MARIA INEZ DE VAZ LIMA,INEZ VAZ,#NULO#,APTO,PARTIDO ISOLADO,PATRIOTA,PARTIDO ECOLÓGICO NACIONAL,#NULO#,#NULO#,#NULO#,50000001652,PARTIDO ISOLADO,PATRIOTA,BA,1976-01-21,FEMININO,SUPERIOR INCOMPLETO,DIVORCIADO(A),PARDA,OUTROS,SUPLENTE,1976,40
2016,SALVADOR,VEREADOR,70190,LENILSON MATOS SANTOS,GRANDE HOMEM,#NULO#,APTO,COLIGAÇÃO,PT do B,PARTIDO TRABALHISTA DO BRASIL,#NULO#,#NULO#,#NULO#,50000002074,PRA FRENTE SALVADOR,PHS / PT do B,BA,1976-03-02,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,BOMBEIRO MILITAR,SUPLENTE,1976,40
2016,SALVADOR,VEREADOR,36171,CARLOS AUGUSTO SILVA,CARLAO,#NULO#,APTO,PARTIDO ISOLADO,PTC,PARTIDO TRABALHISTA CRISTÃO,#NULO#,#NULO#,#NULO#,50000001834,PARTIDO ISOLADO,PTC,BA,1958-08-25,MASCULINO,ENSINO MÉDIO COMPLETO,VIÚVO(A),PRETA,EMPRESÁRIO,NÃO ELEITO,1958,58
2016,SALVADOR,VEREADOR,20023,ANTONIO MÁRIO DOS SANTOS,ANTONIO MÁRIO,#NULO#,APTO,PARTIDO ISOLADO,PSC,PARTIDO SOCIAL CRISTÃO,#NULO#,#NULO#,#NULO#,50000001047,PARTIDO ISOLADO,PSC,BA,1962-12-26,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,VEREADOR,SUPLENTE,1962,54
2016,SALVADOR,VEREADOR,31222,MARIA LUIZA COSTA CÂMERA,LUIZA CAMERA,#NULO#,APTO,COLIGAÇÃO,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,#NULO#,#NULO#,#NULO#,50000002074,PRA FRENTE SALVADOR,PHS / PT do B,BA,1944-07-29,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),SUPLENTE,1944,72
2016,SALVADOR,VEREADOR,12167,CARMEN SENTO SÉ SOUZA,CARMEN SENTO SÉ,#NULO#,APTO,COLIGAÇÃO,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,#NULO#,#NULO#,#NULO#,50000002607,AGORA É O NOVO,PDT / PROS / PSL,BA,1947-07-16,FEMININO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,OUTROS,SUPLENTE,1947,69
2016,SALVADOR,VEREADOR,90909,GEORGE LUIZ SANTANA SANTOS,GEO SANTANA,#NULO#,APTO,COLIGAÇÃO,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,#NULO#,#NULO#,#NULO#,50000002607,AGORA É O NOVO,PDT / PROS / PSL,BA,1979-04-30,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PRETA,ADMINISTRADOR,SUPLENTE,1979,37
2016,SALVADOR,VEREADOR,31190,EDMILSON TAVARES SANTOS,CORONEL EDMILSON,#NULO#,APTO,COLIGAÇÃO,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,#NULO#,#NULO#,#NULO#,50000002074,PRA FRENTE SALVADOR,PHS / PT do B,BA,1964-08-29,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,SERVIDOR PÚBLICO ESTADUAL,SUPLENTE,1964,52
2016,SALVADOR,VEREADOR,77055,ADERBAL DE OLIVEIRA GOMES,ADERBAL CABEÇA BRANCA,#NULO#,APTO,COLIGAÇÃO,SD,SOLIDARIEDADE,#NULO#,#NULO#,#NULO#,50000001055,SALVADOR SOLIDÁRIO E SUSTENTÁVEL,SD / PV,RJ,1959-02-15,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,POLICIAL CIVIL,SUPLENTE,1959,57
2016,SALVADOR,VEREADOR,40555,WALDIR REIS COELHO,WALDIR REIS,#NULO#,APTO,PARTIDO ISOLADO,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NULO#,#NULO#,#NULO#,50000001767,PARTIDO ISOLADO,PSB,BA,1959-04-25,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,POLICIAL MILITAR,SUPLENTE,1959,57
